Project,Total Files,JS Files,JSX Files,JSON Files,CSS Files,Total LOC,React Components,Express Routes,Mongoose Models
team26_vidyavichar,29,16,7,4,2,4431,6,5,4
team27_vidyavichar,53,39,10,3,1,5450,7,7,3
team6_vidyavichar,44,20,19,3,2,7198,9,2,4
team13_vidyavichar,28,8,14,4,2,25428,1,1,1
team16_vidyavichar,53,17,26,8,2,5195,23,6,3
team33_vidyavichar,46,31,0,3,12,2496,1,4,3
team22_vidyavichar,51,44,0,5,2,29560,1,4,4
team32_vidyavichar,32,25,0,5,2,21753,13,3,3
team3_vidyavichar,32,12,12,6,2,7875,10,2,2
team20_vidyavichar,46,24,16,5,1,10228,1,2,4
team24_vidyavichar,31,28,0,2,1,3380,1,3,3
team29_vidyavichar,36,27,0,7,2,20489,1,2,3
team14_vidyavichar,42,20,11,4,7,12473,5,4,3
team28_vidyavichar,37,30,0,5,2,21615,1,3,3
team21_vidyavichar,23,20,0,3,0,18745,5,4,3
team5_vidyavichar,53,16,29,4,4,14212,0,3,6
team25_vidyavichar,42,17,20,4,1,18002,13,4,3
team31_vidyavichar,23,9,6,2,6,930,1,2,1
team10_vidyavichar,30,14,10,4,2,14801,9,4,3
