2025-11-12 19:09:37 - Bubble     | Asc  | size=     0 | case=random         | duration=0.000009s
2025-11-12 19:09:37 - Selection  | Asc  | size=     0 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Quick      | Asc  | size=     0 | case=random         | duration=0.000006s
2025-11-12 19:09:37 - Merge      | Asc  | size=     0 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Shell      | Asc  | size=     0 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Bubble     | Desc | size=     0 | case=random         | duration=0.000004s
2025-11-12 19:09:37 - Selection  | Desc | size=     0 | case=random         | duration=0.000004s
2025-11-12 19:09:37 - Quick      | Desc | size=     0 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Merge      | Desc | size=     0 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Shell      | Desc | size=     0 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Bubble     | Asc  | size=     1 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Selection  | Asc  | size=     1 | case=random         | duration=0.000006s
2025-11-12 19:09:37 - Quick      | Asc  | size=     1 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Merge      | Asc  | size=     1 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Shell      | Asc  | size=     1 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Bubble     | Desc | size=     1 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Selection  | Desc | size=     1 | case=random         | duration=0.000006s
2025-11-12 19:09:37 - Quick      | Desc | size=     1 | case=random         | duration=0.000007s
2025-11-12 19:09:37 - Merge      | Desc | size=     1 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Shell      | Desc | size=     1 | case=random         | duration=0.000005s
2025-11-12 19:09:37 - Bubble     | Asc  | size=    10 | case=random         | duration=0.000018s
2025-11-12 19:09:37 - Selection  | Asc  | size=    10 | case=random         | duration=0.000010s
2025-11-12 19:09:37 - Quick      | Asc  | size=    10 | case=random         | duration=0.000048s
2025-11-12 19:09:37 - Merge      | Asc  | size=    10 | case=random         | duration=0.000021s
2025-11-12 19:09:37 - Shell      | Asc  | size=    10 | case=random         | duration=0.000010s
2025-11-12 19:09:37 - Bubble     | Desc | size=    10 | case=random         | duration=0.000016s
2025-11-12 19:09:37 - Selection  | Desc | size=    10 | case=random         | duration=0.000012s
2025-11-12 19:09:37 - Quick      | Desc | size=    10 | case=random         | duration=0.000021s
2025-11-12 19:09:37 - Merge      | Desc | size=    10 | case=random         | duration=0.000020s
2025-11-12 19:09:37 - Shell      | Desc | size=    10 | case=random         | duration=0.000010s
2025-11-12 19:09:37 - Bubble     | Asc  | size=   100 | case=random         | duration=0.000451s
2025-11-12 19:09:37 - Selection  | Asc  | size=   100 | case=random         | duration=0.000262s
2025-11-12 19:09:37 - Quick      | Asc  | size=   100 | case=random         | duration=0.000138s
2025-11-12 19:09:37 - Merge      | Asc  | size=   100 | case=random         | duration=0.000190s
2025-11-12 19:09:37 - Shell      | Asc  | size=   100 | case=random         | duration=0.000090s
2025-11-12 19:09:37 - Bubble     | Desc | size=   100 | case=random         | duration=0.000721s
2025-11-12 19:09:37 - Selection  | Desc | size=   100 | case=random         | duration=0.000382s
2025-11-12 19:09:37 - Quick      | Desc | size=   100 | case=random         | duration=0.000184s
2025-11-12 19:09:37 - Merge      | Desc | size=   100 | case=random         | duration=0.000272s
2025-11-12 19:09:37 - Shell      | Desc | size=   100 | case=random         | duration=0.000119s
2025-11-12 19:09:37 - Bubble     | Asc  | size=  1000 | case=random         | duration=0.066438s
2025-11-12 19:09:37 - Selection  | Asc  | size=  1000 | case=random         | duration=0.034461s
2025-11-12 19:09:37 - Quick      | Asc  | size=  1000 | case=random         | duration=0.002149s
2025-11-12 19:09:37 - Merge      | Asc  | size=  1000 | case=random         | duration=0.002265s
2025-11-12 19:09:37 - Shell      | Asc  | size=  1000 | case=random         | duration=0.001759s
2025-11-12 19:09:37 - Bubble     | Desc | size=  1000 | case=random         | duration=0.066201s
2025-11-12 19:09:37 - Selection  | Desc | size=  1000 | case=random         | duration=0.034539s
2025-11-12 19:09:37 - Quick      | Desc | size=  1000 | case=random         | duration=0.002077s
2025-11-12 19:09:37 - Merge      | Desc | size=  1000 | case=random         | duration=0.002783s
2025-11-12 19:09:37 - Shell      | Desc | size=  1000 | case=random         | duration=0.001573s
2025-11-12 19:09:37 - Bubble     | Asc  | size=     0 | case=sorted         | duration=0.000007s
2025-11-12 19:09:37 - Selection  | Asc  | size=     0 | case=sorted         | duration=0.000005s
2025-11-12 19:09:37 - Quick      | Asc  | size=     0 | case=sorted         | duration=0.000012s
2025-11-12 19:09:37 - Merge      | Asc  | size=     0 | case=sorted         | duration=0.000006s
2025-11-12 19:09:37 - Shell      | Asc  | size=     0 | case=sorted         | duration=0.000007s
2025-11-12 19:09:37 - Bubble     | Desc | size=     0 | case=sorted         | duration=0.000007s
2025-11-12 19:09:37 - Selection  | Desc | size=     0 | case=sorted         | duration=0.000005s
2025-11-12 19:09:37 - Quick      | Desc | size=     0 | case=sorted         | duration=0.000008s
2025-11-12 19:09:37 - Merge      | Desc | size=     0 | case=sorted         | duration=0.000006s
2025-11-12 19:09:37 - Shell      | Desc | size=     0 | case=sorted         | duration=0.000005s
2025-11-12 19:09:37 - Bubble     | Asc  | size=     1 | case=sorted         | duration=0.000007s
2025-11-12 19:09:37 - Selection  | Asc  | size=     1 | case=sorted         | duration=0.000007s
2025-11-12 19:09:37 - Quick      | Asc  | size=     1 | case=sorted         | duration=0.000008s
2025-11-12 19:09:37 - Merge      | Asc  | size=     1 | case=sorted         | duration=0.000007s
2025-11-12 19:09:37 - Shell      | Asc  | size=     1 | case=sorted         | duration=0.000009s
2025-11-12 19:09:37 - Bubble     | Desc | size=     1 | case=sorted         | duration=0.000006s
2025-11-12 19:09:37 - Selection  | Desc | size=     1 | case=sorted         | duration=0.000007s
2025-11-12 19:09:37 - Quick      | Desc | size=     1 | case=sorted         | duration=0.000007s
2025-11-12 19:09:37 - Merge      | Desc | size=     1 | case=sorted         | duration=0.000008s
2025-11-12 19:09:37 - Shell      | Desc | size=     1 | case=sorted         | duration=0.000006s
2025-11-12 19:09:37 - Bubble     | Asc  | size=    10 | case=sorted         | duration=0.000012s
