2025-11-12 02:08:24 - Bubble     | Asc  | size=     0 | case=random         | duration=0.000006s
2025-11-12 02:08:24 - Selection  | Asc  | size=     0 | case=random         | duration=0.000006s
2025-11-12 02:08:24 - Quick      | Asc  | size=     0 | case=random         | duration=0.000009s
2025-11-12 02:08:24 - Merge      | Asc  | size=     0 | case=random         | duration=0.000005s
2025-11-12 02:08:24 - Bubble     | Desc | size=     0 | case=random         | duration=0.000005s
2025-11-12 02:08:24 - Selection  | Desc | size=     0 | case=random         | duration=0.000010s
2025-11-12 02:08:24 - Quick      | Desc | size=     0 | case=random         | duration=0.000007s
2025-11-12 02:08:24 - Merge      | Desc | size=     0 | case=random         | duration=0.000004s
2025-11-12 02:08:24 - Bubble     | Asc  | size=     1 | case=random         | duration=0.000008s
2025-11-12 02:08:24 - Selection  | Asc  | size=     1 | case=random         | duration=0.000007s
2025-11-12 02:08:24 - Quick      | Asc  | size=     1 | case=random         | duration=0.000006s
2025-11-12 02:08:24 - Merge      | Asc  | size=     1 | case=random         | duration=0.000007s
2025-11-12 02:08:24 - Bubble     | Desc | size=     1 | case=random         | duration=0.000007s
2025-11-12 02:08:24 - Selection  | Desc | size=     1 | case=random         | duration=0.000008s
2025-11-12 02:08:24 - Quick      | Desc | size=     1 | case=random         | duration=0.000005s
2025-11-12 02:08:24 - Merge      | Desc | size=     1 | case=random         | duration=0.000008s
2025-11-12 02:08:24 - Bubble     | Asc  | size=    10 | case=random         | duration=0.000019s
2025-11-12 02:08:24 - Selection  | Asc  | size=    10 | case=random         | duration=0.000013s
2025-11-12 02:08:24 - Quick      | Asc  | size=    10 | case=random         | duration=0.000045s
2025-11-12 02:08:24 - Merge      | Asc  | size=    10 | case=random         | duration=0.000027s
2025-11-12 02:08:24 - Bubble     | Desc | size=    10 | case=random         | duration=0.000016s
2025-11-12 02:08:24 - Selection  | Desc | size=    10 | case=random         | duration=0.000018s
2025-11-12 02:08:24 - Quick      | Desc | size=    10 | case=random         | duration=0.000028s
2025-11-12 02:08:24 - Merge      | Desc | size=    10 | case=random         | duration=0.000031s
2025-11-12 02:08:24 - Bubble     | Asc  | size=   100 | case=random         | duration=0.000530s
2025-11-12 02:08:24 - Selection  | Asc  | size=   100 | case=random         | duration=0.000349s
2025-11-12 02:08:24 - Quick      | Asc  | size=   100 | case=random         | duration=0.000222s
2025-11-12 02:08:24 - Merge      | Asc  | size=   100 | case=random         | duration=0.000217s
2025-11-12 02:08:24 - Bubble     | Desc | size=   100 | case=random         | duration=0.000477s
2025-11-12 02:08:24 - Selection  | Desc | size=   100 | case=random         | duration=0.000330s
2025-11-12 02:08:24 - Quick      | Desc | size=   100 | case=random         | duration=0.000219s
2025-11-12 02:08:24 - Merge      | Desc | size=   100 | case=random         | duration=0.000219s
2025-11-12 02:08:24 - Bubble     | Asc  | size=  1000 | case=random         | duration=0.069622s
2025-11-12 02:08:24 - Selection  | Asc  | size=  1000 | case=random         | duration=0.029426s
2025-11-12 02:08:24 - Quick      | Asc  | size=  1000 | case=random         | duration=0.002231s
2025-11-12 02:08:24 - Merge      | Asc  | size=  1000 | case=random         | duration=0.002418s
2025-11-12 02:08:24 - Bubble     | Desc | size=  1000 | case=random         | duration=0.068117s
2025-11-12 02:08:24 - Selection  | Desc | size=  1000 | case=random         | duration=0.030804s
2025-11-12 02:08:24 - Quick      | Desc | size=  1000 | case=random         | duration=0.002291s
